,tweet_id,name,type,rating_numerator,rating_denominator,rating
248,845397057150107648,Mimosa,doggo,13,10,1.3
249,845306882940190720,Pickles,pupper,12,10,1.2
251,844979544864018432,None,None,13,10,1.3
252,844973813909606400,Brady,None,12,10,1.2
253,844704788403113984,Luna,None,13,10,1.3
254,844580511645339650,Charlie,None,11,10,1.1
255,844223788422217728,Margo,None,12,10,1.2
256,843981021012017153,None,None,13,10,1.3
257,843856843873095681,Sadie,None,12,10,1.2
258,843604394117681152,Hank,None,11,10,1.1
259,843235543001513987,Tycho,None,13,10,1.3
261,842846295480000512,Charlie,None,13,10,1.3
262,842765311967449089,Indie,None,12,10,1.2
263,842535590457499648,Winnie,None,13,10,1.3
264,842163532590374912,George,None,12,10,1.2
265,842115215311396866,Bentley,None,12,10,1.2
267,841680585030541313,Penny,None,12,10,1.2
268,841439858740625411,None,None,14,10,1.4
269,841320156043304961,None,None,12,10,1.2
270,841314665196081154,Max,None,13,10,1.3
271,841077006473256960,Dawn,None,12,10,1.2
274,840698636975636481,None,None,10,10,1.0
275,840696689258311684,None,None,10,10,1.0
276,840632337062862849,Maddie,None,12,10,1.2
277,840370681858686976,None,None,13,10,1.3
278,840268004936019968,Monty,None,12,10,1.2
279,839990271299457024,Sojourner,None,13,10,1.3
280,839549326359670784,Winston,None,12,10,1.2
282,839239871831150596,Odie,None,13,10,1.3
283,838952994649550848,None,None,13,10,1.3
284,838921590096166913,Arlo,None,13,10,1.3
287,838561493054533637,Walter,None,13,10,1.3
288,838476387338051585,Stanley,None,13,10,1.3
291,838085839343206401,None,None,15,10,1.5
292,838083903487373313,Daisy,None,13,10,1.3
293,837820167694528512,None,pupper,12,10,1.2
294,837482249356513284,Waffles,None,13,10,1.3
295,837471256429613056,Vincent,None,12,10,1.2
296,837366284874571778,Lucy,None,13,10,1.3
297,837110210464448512,Clark,pupper,13,10,1.3
299,836989968035819520,Mookie,None,12,10,1.2
300,836753516572119041,Meera,doggo,12,10,1.2
301,836677758902222849,Oliver,None,11,10,1.1
304,836380477523124226,Ava,pupper,12,10,1.2
305,836260088725786625,Lucy,None,13,10,1.3
306,836001077879255040,None,None,13,10,1.3
308,835574547218894849,Eli,None,11,10,1.1
311,835297930240217089,Ash,None,12,10,1.2
312,835264098648616962,Lola,None,12,10,1.2
314,835172783151792128,None,None,12,10,1.2
315,835152434251116546,None,None,0,10,0.0
316,834931633769889797,Tucker,None,12,10,1.2
317,834786237630337024,Tobi,None,13,10,1.3
318,834574053763584002,None,doggo,13,10,1.3
320,834458053273591808,Chester,None,12,10,1.2
321,834209720923721728,Wilson,None,12,10,1.2
322,834167344700198914,Sunshine,None,11,10,1.1
323,834089966724603904,None,doggo,10,10,1.0
324,834086379323871233,Lipton,None,12,10,1.2
325,833863086058651648,Bentley,None,12,10,1.2
326,833826103416520705,Charlie,None,13,10,1.3
328,833722901757046785,Bronte,None,13,10,1.3
329,833479644947025920,Poppy,None,13,10,1.3
